,Loan_ID,Gender,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status (Approved),Capped_ApplicantIncome,MedianReplacedApplicantIncome,zscore,Education_Not Graduate,Married_Yes,Self_Employed_Yes
0,LP001002,1,0,0.07299082285068836,-0.5544873301529852,-0.21124124943736647,360.0,1.0,1,5849.0,5849.0,0.07299082285068836,0,0,0
1,LP001003,1,1,-0.13441195378345122,-0.03873154846446157,-0.21124124943736647,360.0,1.0,0,4583.0,4583.0,-0.13441195378345122,0,1,0
2,LP001005,1,0,-0.3937473372051281,-0.5544873301529852,-0.9489964681145835,360.0,1.0,1,3000.0,3000.0,-0.3937473372051281,0,1,1
3,LP001006,1,0,-0.4620624697931504,0.2519796016915365,-0.3064354712021687,360.0,1.0,1,2583.0,2583.0,-0.4620624697931504,1,1,0
4,LP001008,1,0,0.09772843680942066,-0.5544873301529852,-0.05655063906956289,360.0,1.0,1,6000.0,6000.0,0.09772843680942066,0,0,0
5,LP001011,1,2,0.0022183113925933404,0.8805997122641535,1.4427583537260718,360.0,1.0,1,5417.0,5417.0,0.0022183113925933404,0,1,1
6,LP001013,1,0,-0.5030187842943628,-0.03599544352181688,-0.6039174142171756,360.0,1.0,1,2333.0,2333.0,-0.5030187842943628,1,1,0
7,LP001014,1,3,-0.38784962791695354,0.30191351689480206,0.1457370821806418,360.0,0.0,0,3036.0,3036.0,-0.38784962791695354,0,1,0
8,LP001018,1,2,-0.22893912765224944,-0.03257531234351103,0.26472985938664456,360.0,1.0,1,4006.0,4006.0,-0.22893912765224944,0,1,0
9,LP001020,1,1,1.2184570268205968,3.196712546212882,2.4184991268152944,360.0,1.0,0,10171.25,3812.5,1.2184570268205968,0,1,0
10,LP001024,1,2,-0.3609822856041582,-0.31507814767157505,-0.9013993572321825,360.0,1.0,1,3200.0,3200.0,-0.3609822856041582,0,1,0
11,LP001027,1,2,-0.4756599662075529,0.07481680665529297,-0.4373275261287717,360.0,1.0,1,2500.0,2500.0,-0.4756599662075529,0,1,0
12,LP001028,1,2,-0.38178809337077413,2.2178710029817448,0.6455067464458534,360.0,1.0,1,3073.0,3073.0,-0.38178809337077413,0,1,0
13,LP001029,1,0,-0.5816549081366906,0.41682992448587897,-0.3778311375257703,360.0,1.0,0,1853.0,1853.0,-0.5816549081366906,0,0,0
14,LP001030,1,2,-0.6724141010713773,-0.18306108418896885,-1.532061076423997,120.0,1.0,1,1299.0,1299.0,-0.6724141010713773,0,1,0
15,LP001032,1,0,-0.07428808409567142,-0.5544873301529852,-0.2469390825991673,360.0,1.0,1,4950.0,4950.0,-0.07428808409567142,0,0,0
16,LP001034,1,1,-0.29610748343423776,-0.5544873301529852,-0.5444210256141742,240.0,1.0,1,3596.0,3596.0,-0.29610748343423776,1,0,0
17,LP001036,0,0,-0.31019645562265485,-0.5544873301529852,-0.8300036909085807,360.0,0.0,0,3510.0,3510.0,-0.31019645562265485,0,0,0
18,LP001038,1,0,-0.08460907534997694,-0.5544873301529852,-0.1517448608343651,360.0,1.0,0,4887.0,4887.0,-0.08460907534997694,1,1,0
19,LP001041,1,0,-0.45927744040706797,0.6425585822540657,-0.36593185980517007,360.0,1.0,1,2600.0,2600.0,-0.45927744040706797,0,1,0
20,LP001043,1,0,0.369678365097471,-0.5544873301529852,-0.49682391473177306,360.0,0.0,0,7660.0,7660.0,0.369678365097471,1,1,0
